WatershedName,SiteName,VisitYear,VisitID
JohnDay,CBW05583-030730,2012,806
JohnDay,CBW05583-207602,2012,665
JohnDay,CBW05583-232818,2012,820
JohnDay,OJD03458-000016,2012,733
JohnDay,OJD03458-000038,2012,564
JohnDay,OJD03458-000050,2012,737
JohnDay,OJD03458-000052,2012,738
Lemhi,CBW05583-026031,2012,916
Lemhi,CBW05583-028079,2012,1029
Lemhi,CBW05583-080335,2012,1027
Lemhi,CBW05583-170447,2012,920
Lemhi,CBW05583-197071,2012,547
Lemhi,CBW05583-362335,2012,548
Methow,CBW05583-385561,2012,1096
SouthForkSalmon,CBW05583-030354,2012,681
SouthForkSalmon,CBW05583-162079,2012,685
SouthForkSalmon,CBW05583-215442,2012,686
SouthForkSalmon,CBW05583-410911,2012,699
SouthForkSalmon,CBW05583-438226,2012,701
UpperGrandeRonde,CBW05583-487322,2012,797
UpperGrandeRonde,ORW03446-077704,2012,664
Entiat,CBW05583-128427,2013,1621
Entiat,ENT00001-1BC7,2013,1783
Entiat,ENT00001-1F18,2013,1793
JohnDay,CBW05583-275954,2013,1902
JohnDay,CBW05583-415218,2013,1172
JohnDay,CBW05583-449266,2013,1903
JohnDay,JDW00001-LowerOwensC,2013,1971
JohnDay,JDW00001-MeyersCampC,2013,1967
JohnDay,OJD03458-000536,2013,1175
Lemhi,CBW05583-093023,2013,1545
Lemhi,CBW05583-315823,2013,1587
Lemhi,CBW05583-452047,2013,1448
Methow,CBW05583-020761,2013,1596
Tucannon,CBW05583-339839,2013,1486
Tucannon,CBW05583-420019,2013,1494
UpperGrandeRonde,CBW05583-031546,2013,1329
UpperGrandeRonde,CBW05583-036266,2013,1343
UpperGrandeRonde,CBW05583-099818,2013,1331
UpperGrandeRonde,CBW05583-325034,2013,1353
UpperGrandeRonde,CBW05583-370490,2013,1804
UpperGrandeRonde,ORW03446-084462,2013,1602
Wenatchee,CBW05583-492715,2013,1735
YankeeFork,YFI00001-000828,2013,1549
Entiat,CBW05583-407211,2014,2458
Entiat,ENT00001-1BC1,2014,2447
Entiat,ENT00001-1BC15,2014,2459
Entiat,ENT00001-1G16,2014,2499
Entiat,ENT201301-TyeeSide,2014,2441
JohnDay,CBW05583-289522,2014,2466
JohnDay,CBW05583-314610,2014,2569
JohnDay,CBW05583-423282,2014,2435
JohnDay,CBW05583-497650,2014,2568
JohnDay,JDW00001-Mazama4,2014,2771
JohnDay,JDW00001-MazamaA,2014,2790
JohnDay,JDW00001-MeyersCampB,2014,2785
Lemhi,CBW05583-353711,2014,2271
Minam,MNM00001-000229,2014,2668
Minam,MNM00001-000444,2014,2153
SouthForkSalmon,CBW05583-045010,2014,2051
SouthForkSalmon,CBW05583-181535,2014,2056
SouthForkSalmon,CBW05583-241618,2014,2060
SouthForkSalmon,CBW05583-317074,2014,2061
SouthForkSalmon,CBW05583-404767,2014,2065
Tucannon,CBW05583-248063,2014,2265
UpperGrandeRonde,CBW05583-090282,2014,2142
UpperGrandeRonde,CBW05583-108010,2014,2014
UpperGrandeRonde,CBW05583-138554,2014,2016
UpperGrandeRonde,CBW05583-148970,2014,2015
UpperGrandeRonde,CBW05583-235322,2014,2019
UpperGrandeRonde,CBW05583-269114,2014,2020
UpperGrandeRonde,CBW05583-280042,2014,2021
UpperGrandeRonde,CBW05583-321338,2014,2022
UpperGrandeRonde,CBW05583-368042,2014,2007
UpperGrandeRonde,CBW05583-405674,2014,2008
UpperGrandeRonde,CBW05583-457530,2014,2023
UpperGrandeRonde,CBW05583-514458,2014,2133
UpperGrandeRonde,dsgn4-000010,2014,2648
UpperGrandeRonde,dsgn4-000092,2014,2141
UpperGrandeRonde,dsgn4-000161,2014,2145
UpperGrandeRonde,dsgn4-000168,2014,2146
