WatershedName,SiteName,VisitYear,VisitID,Discharge,HasFISData,AveBFW
Asotin,ASW00001-NF-F2P2,2016,3949,0.7214,No,10
John Day,CBW05583-007410,2015,3432,0.12427,Yes,6.72
Methow,CBW05583-014169,2016,4000,5.44973,Yes,23.56
Methow,CBW05583-020761,2013,1596,2.87798,Yes,13.8
Lemhi,CBW05583-026031,2016,3905,2.76161,No,17.18
Lemhi,CBW05583-026031,2012,916,3.29568,No,17.18
Lemhi,CBW05583-028079,2012,1029,0.26748,No,7.34
South Fork Salmon,CBW05583-030354,2012,681,1.908,No,10.02
John Day,CBW05583-030730,2012,806,0.01002,Yes,5.22
UpperGrandeRonde,CBW05583-031546,2013,1329,0.34368,Yes,16.62
UpperGrandeRonde,CBW05583-036266,2013,1343,0.6351,Yes,13.62
Lemhi,CBW05583-038111,2015,3501,0.74875,Yes,19.82
South Fork Salmon,CBW05583-045010,2014,2051,0.32245,No,8
Entiat,CBW05583-055979,2016,3979,9.25894,Yes,25.8
UpperGrandeRonde,CBW05583-073130,2015,3076,0.19348,Yes,8.14
Lemhi,CBW05583-080335,2012,1027,0.53855,Yes,8.99
UpperGrandeRonde,CBW05583-090282,2014,2142,2.28816,Yes,14.2
Lemhi,CBW05583-093023,2013,1545,0.2349,Yes,5.46
UpperGrandeRonde,CBW05583-099818,2013,1331,0.34744,Yes,7.31
Upper Grande Ronde,CBW05583-108010,2014,2014,0.29463,Yes,7.32
Entiat,CBW05583-128427,2013,1621,0.0915,Yes,4
Entiat,CBW05583-132779,2015,3297,1.83917,Yes,30
UpperGrandeRonde,CBW05583-138554,2014,2016,0.18231,Yes,6.98
Entiat,CBW05583-141995,2016,3983,1.13892,Yes,12.34
UpperGrandeRonde,CBW05583-147626,2016,4286,0.58336,Yes,22.5
UpperGrandeRonde,CBW05583-148970,2014,2015,0.74259,Yes,9.84
South Fork Salmon,CBW05583-162079,2012,685,1.54542,No,18.16
Lemhi,CBW05583-170447,2012,920,0.76792,No,7.36
South Fork Salmon,CBW05583-181535,2014,2056,0.3608,Yes,15.78
Lemhi,CBW05583-197071,2012,547,0.06588,No,2.36
John Day,CBW05583-207602,2012,665,0.3115,No,7.03
JohnDay,CBW05583-207602,2015,3450,0.24466,Yes,7.03
South Fork Salmon,CBW05583-215442,2012,686,1.81375,Yes,7.48
John Day,CBW05583-219122,2015,3512,0.2721,Yes,10.41
Upper Grande Ronde,CBW05583-235322,2014,2019,0.49512,Yes,16
South Fork Salmon,CBW05583-241618,2014,2060,2.5576,No,19.14
Tucannon,CBW05583-248063,2014,2265,2.80455,No,13.68
UpperGrandeRonde,CBW05583-253354,2016,3696,0.4792,Yes,13.98
UpperGrandeRonde,CBW05583-269114,2014,2020,0.26498,Yes,18.5
UpperGrandeRonde,CBW05583-269738,2016,3790,0.23627,Yes,8.12
JohnDay,CBW05583-275954,2013,1902,0.48776,Yes,11.86
Upper Grande Ronde,CBW05583-280042,2014,2021,0.99286,Yes,7.56
JohnDay,CBW05583-289522,2014,2466,0.32638,No,8.4
UpperGrandeRonde,CBW05583-311466,2016,3697,0.68432,Yes,12.62
Wenatchee,CBW05583-314219,2016,4086,2.11119,No,43.56
JohnDay,CBW05583-314610,2014,2569,0.3171,No,12.66
Lemhi,CBW05583-315823,2013,1587,0.75718,Yes,11.28
South Fork Salmon,CBW05583-317074,2014,2061,1.0029,No,10
UpperGrandeRonde,CBW05583-321338,2014,2022,0.37753,Yes,17.44
UpperGrandeRonde,CBW05583-325034,2013,1353,0.5811,Yes,19.3
UpperGrandeRonde,CBW05583-335162,2015,2833,0.18615,Yes,5.4
Tucannon,CBW05583-339839,2013,1486,1.94308,No,12.28
UpperGrandeRonde,CBW05583-340138,2015,2855,0.51296,Yes,15.68
John Day,CBW05583-345970,2015,3161,0.0146,Yes,3.46
Lemhi,CBW05583-353711,2014,2271,0.09541,Yes,3.64
Lemhi,CBW05583-362335,2012,548,0.1265,Yes,6.56
UpperGrandeRonde,CBW05583-368042,2014,2007,1.01816,Yes,13.52
UpperGrandeRonde,CBW05583-370490,2013,1804,0.36348,Yes,16.46
Methow,CBW05583-385561,2012,1096,1.52586,Yes,25.64
South Fork Salmon,CBW05583-404767,2014,2065,0.36332,No,11.16
UpperGrandeRonde,CBW05583-405674,2014,2008,0.81617,Yes,16
Entiat,CBW05583-407211,2014,2458,0.02828,No,2.82
SouthForkSalmon,CBW05583-410911,2012,699,0.12145,No,5.98
JohnDay,CBW05583-415218,2013,1172,0.50341,No,13.4
UpperGrandeRonde,CBW05583-417962,2015,2845,0.46778,Yes,12.64
Tucannon,CBW05583-420019,2013,1494,1.80323,No,14.4
